parallax,l,b
-0.06557144799110573,335.17757652214374,-4.013744386136233
-0.027793064046529686,335.1963480013999,-3.959210248130381
-1.0688405155235374,334.547370164152,-3.207016575553723
-0.02525703279783437,335.2218794623974,-3.858438917558854
-0.3114648707831903,335.49570787892776,-3.7181433459608915
-0.035801884661482215,335.2180259606175,-3.704516165458831
-0.04443120813822592,335.11895109722957,-3.525984580840678
-0.07676547602432471,335.73677883056695,-3.743946577629079
4.361049617262511,102.54072555294533,22.150771911791946
-0.004895864449171297,335.06017784704085,-3.451735518403209
-0.030500625280938422,334.94866643330414,-3.3736330420810083
-0.0037372202491629987,331.71959522027817,-15.404272601322793
-0.5925978292716948,335.8060217686342,-3.6156436678360384
-0.01131045176114724,104.54644235828628,27.820532334164223
3.8487472729914542,101.33975137281001,25.568407151650746
-0.3813337946334008,335.70573794318125,-3.4747587216208995
-0.07869157326621182,331.7939739993277,-14.812107768085346
-0.5559846586688366,105.20143242608094,25.736993349319405
4.481269280704405,105.13538368525573,14.431054974032891
5.3571654662221455,333.50258791750764,-14.510418506042484
-0.0033736945221415973,331.6645260866603,-13.285400304169373
3.647845264009686,102.82761513519155,26.384530840547203
-1.176070654236726,325.1160791383665,6.9598188314141405
-0.012946901441526333,326.1596045264538,6.9808256503982005
-0.047807607663200614,324.9087582158103,7.127071321272107
-0.07754202666513677,359.7572909162184,13.054951707090114
-0.10661367205224433,324.72217348286676,7.231296997458804
-0.04429815985307061,325.5164899662971,7.660054667139327
-0.004422305657848104,333.10614928209117,-10.05350361790393
-0.2682588144532457,333.3518443793293,-10.015375403434925
-0.35345067536523894,332.57778744445477,-9.038582094537487
-0.2005159691620918,359.41571886190025,12.724388834160926
-0.20810929500307934,333.22224280130587,-9.62150486068308
-0.17743260327293123,359.9023735364288,12.27002722179611
-0.12235520282083537,333.4751070695221,-9.488674180168795
-0.4058737236172428,351.0042423960894,-5.051878202885338
-0.09844415327986669,333.77664452319124,-9.007444739244178
-0.3515756445264062,351.15988994309885,-4.830906214069168
-0.2049736700121023,350.7622552668029,-4.800770461104451
-0.03269746112743225,334.0284009264712,-9.04775214555117
-0.05814004027873059,351.4530110512879,-5.512800131731717
-0.020135904223052527,287.6805274754692,-3.9021083586251586
-0.07012266013500805,351.74488216280344,-5.374215328962982
-0.0469207497136618,351.42959744352515,-5.242221749016282
-0.039818784829619286,288.17364885452446,-2.8335914771352426
-0.4669668365713823,334.01669352981645,-8.811305604391304
-0.0076805222649933245,287.3409801175153,-3.408797192943135
-0.11746138705039148,350.73113597535087,-4.823505635341566
-0.023811184033356775,350.7765564308639,-4.877415138648071
-0.02298961707164026,351.58779644841326,-5.232558025794557
-0.10248206076627321,350.49000508579485,-4.7714621249050895
-0.17163800246495814,288.1827223796056,-2.978567600001794
-0.23919274016368902,351.37044697507525,-4.676527608664151
-0.0740351044414301,350.9522953746751,-5.0528267709198085
-0.31333373591586106,288.11785843422746,-2.9782459480667565
-0.14981862778044536,350.44307776548,-5.01828470885725
-1.9836927746123014,351.32636106055105,-5.20337018611092
-0.0428462202027617,351.07980145249616,-5.413494830656906
-0.017921108429922214,287.92505644135764,-2.6322580147455996
-0.02098011493381999,350.44278726192397,-4.63031722455261
-0.026023071237791948,350.56410027782636,-4.695181375817936
-0.008775848691148974,254.93725623439275,1.9139908730440425
-0.2670431666613958,287.8201099893117,-2.5651505526643423
-0.046383100853580314,350.49219013038123,-4.865367645232001
-1.6666350715221014,351.0814613987514,-4.627275902212936
-0.019369906286179885,288.5226867551898,-2.691990297430224
-0.01506083043019862,288.55051940358516,-3.2630479708339877
-1.730639278913901,288.0376510462832,-2.9527769162935145
-0.24817282121919226,288.0117074445491,-2.9466599984211275
-0.15058905698612182,351.69156257586303,-5.553978076668119
-0.27821799724040974,287.50100290826515,-3.398986335001129
-0.05075482126788238,287.50004135160765,-3.5622528148937356
-0.5581570943973219,287.5239941206512,-2.792576856909137
-0.11403050201696201,288.37544163694577,-2.6445270875815163
-0.1635295493388002,355.6524034604576,7.692469051022234
-1.669691720567724,354.54888036036346,8.234611158526935
-0.604276728666419,355.77510172276516,7.62124735573069
-0.022015576191141292,354.4736397676837,8.393163648550452
-0.004843291090280548,255.37386577974635,1.62416092404154
-0.003679480745306385,255.11988799563474,0.8105610280804795
-0.28307653833258833,37.9243007703532,-5.570744722991529
-0.1478157253282785,355.788258554381,7.581314843656275
-1.2289339404774713,254.78400826874227,0.08803713340969387
-0.026487021940466697,355.92897849636574,7.474442245951978
-0.43161609767612674,354.57546906933743,7.955364806126459
-0.1093368873335632,31.949318063642252,-1.9419883718691975
-0.026810029491143826,254.6954202343969,2.395138851547289
-0.0017021099892760277,256.658969504078,1.6109312908914097
-1.016651761047348,254.5322250514931,1.3234708074426609
-0.07159069295397738,354.2519238646948,7.8479116128635535
-4.196469796549519,354.3530679598813,8.221699762697916
-0.06358318616653216,354.7341611049567,8.41225266423707
-1.1909483435604842,37.92184740426503,-4.90618802256048
-3.2259105515789424,325.68289926822484,-12.245294517561009
-0.17745398652934005,37.96424323104017,-4.920117511078458
-0.18249893927385166,32.081508095386795,-1.8325069841342991
-0.0075666863631168955,327.78451804232253,-12.571489633194147
-0.05024380359741794,354.47956303007237,8.15695963117253
-0.14421687461146143,354.60792026979146,8.04671292150657
-0.006974634429438884,326.18651899894985,-11.117411924792496
5.1017843083544765,355.0925167944046,7.906292682545826
-0.6363628783851083,325.86614602662644,-11.320803848045477
-0.017122288597762797,37.47229641245314,-4.733882796232717
-0.18065646597599552,326.2431207856043,-12.896843259368351
-0.20074688055406198,325.9750103095266,-10.914951391992716
-0.16632720816688762,320.7412693356873,7.150292957915391
-0.032568622324946186,321.16689964949717,7.744533219732886
-0.12210761386901664,321.39430120490425,6.956573260796313
-0.7561882002398713,321.7193963964902,8.170346211144908
-0.01954339068803923,326.27844812000035,-11.312580119754335
-0.4358415086127685,322.2613807620912,8.131636661746695
-0.5473578518469882,325.4993340414966,-11.752090070162563
-0.3810772152280035,1.748798841705818,13.582347714091336
-0.06643251993845034,288.75431590203027,-5.3056731074041386
-0.28564755514012863,326.2518565706243,-12.432809355180115
-0.01875862092475633,320.9643122857658,7.386015496322971
-0.04596773103547269,322.31778157961094,7.795706846902337
-0.026006239352697035,321.5979071203433,7.769831670702854
-0.04337842517110077,2.370095789883304,13.376775495356943
-0.043425227130629025,351.7490602100179,7.56160527235472
-0.024831506423343766,3.4891296438589796,12.606008902235176
-0.08451651256178395,352.10053680752355,7.545999769488087
